"","gender","province","education","age","vote","age_factor","vote_liberal","vote_conservative","vote_ndp"
"1","Female","Quebec","Above Bachelor's",30,"Green Party","21-40",0,0,0
"2","Female","Quebec","Above Bachelor's",21,"Other Party","21-40",0,0,0
"3","Female","Ontario","Bachelor's Degree",19,"Liberal Party","0-20",1,0,0
"4","Male","Ontario","Bachelor's Degree",21,"Conservative Party","21-40",0,1,0
"5","Female","Ontario","Highschool",19,"Other Party","0-20",0,0,0
"6","Female","Ontario","Bachelor's Degree",20,"Liberal Party","0-20",1,0,0
"7","Female","Ontario","Bachelor's Degree",21,"Liberal Party","21-40",1,0,0
"8","Female","Ontario","Bachelor's Degree",21,"Other Party","21-40",0,0,0
"9","Male","Ontario","Highschool",19,"Liberal Party","0-20",1,0,0
"10","Female","Ontario","Highschool",19,"NDP","0-20",0,0,1
"11","Female","Ontario","Bachelor's Degree",21,"Conservative Party","21-40",0,1,0
"12","Male","Ontario","Highschool",20,"Liberal Party","0-20",1,0,0
"13","Female","Ontario","Bachelor's Degree",19,"Liberal Party","0-20",1,0,0
"14","Male","Ontario","Bachelor's Degree",21,"Liberal Party","21-40",1,0,0
"15","Female","Ontario","Highschool",19,"Liberal Party","0-20",1,0,0
"16","Female","Ontario","Highschool",19,"Liberal Party","0-20",1,0,0
"17","Female","Ontario","Highschool",19,"Green Party","0-20",0,0,0
"18","Female","Ontario","Bachelor's Degree",19,"Green Party","0-20",0,0,0
"19","Female","Ontario","Highschool",19,"NDP","0-20",0,0,1
"20","Male","Ontario","Highschool",19,"Conservative Party","0-20",0,1,0
"21","Male","Ontario","Bachelor's Degree",24,"Liberal Party","21-40",1,0,0
"22","Female","Ontario","Bachelor's Degree",20,"Liberal Party","0-20",1,0,0
"23","Female","Ontario","Highschool",19,"Other Party","0-20",0,0,0
"24","Female","Ontario","Highschool",19,"Liberal Party","0-20",1,0,0
"25","Male","Ontario","Highschool",20,"Liberal Party","0-20",1,0,0
"26","Female","Ontario","Highschool",19,"Other Party","0-20",0,0,0
"27","Male","Ontario","Bachelor's Degree",19,"Liberal Party","0-20",1,0,0
"28","Female","Ontario","Less than highschool",19,"Liberal Party","0-20",1,0,0
"29","Male","Ontario","Highschool",20,"Conservative Party","0-20",0,1,0
"30","Female","Ontario","Bachelor's Degree",24,"Liberal Party","21-40",1,0,0
"31","Female","Ontario","Bachelor's Degree",21,"Green Party","21-40",0,0,0
"32","Male","Ontario","Less than highschool",19,"Liberal Party","0-20",1,0,0
"33","Female","Ontario","Bachelor's Degree",19,"Liberal Party","0-20",1,0,0
"34","Male","Ontario","Bachelor's Degree",22,"Liberal Party","21-40",1,0,0
"35","Male","Ontario","Highschool",19,"Conservative Party","0-20",0,1,0
"36","Female","Ontario","Bachelor's Degree",19,"NDP","0-20",0,0,1
"37","Female","Ontario","Bachelor's Degree",19,"NDP","0-20",0,0,1
"38","Female","Ontario","Bachelor's Degree",19,"Liberal Party","0-20",1,0,0
"39","Female","Ontario","Highschool",21,"Conservative Party","21-40",0,1,0
"40","Male","Ontario","Bachelor's Degree",21,"Liberal Party","21-40",1,0,0
"41","Female","Ontario","Highschool",19,"Liberal Party","0-20",1,0,0
"42","Female","Ontario","Bachelor's Degree",21,"Liberal Party","21-40",1,0,0
"43","Female","Ontario","Less than highschool",20,"NDP","0-20",0,0,1
"44","Male","Ontario","Bachelor's Degree",23,"Other Party","21-40",0,0,0
"45","Female","Ontario","Bachelor's Degree",19,"Other Party","0-20",0,0,0
"46","Male","Ontario","Bachelor's Degree",20,"Liberal Party","0-20",1,0,0
"47","Female","Ontario","Bachelor's Degree",19,"NDP","0-20",0,0,1
"48","Male","Ontario","Bachelor's Degree",19,"Green Party","0-20",0,0,0
"49","Female","Ontario","Bachelor's Degree",23,"NDP","21-40",0,0,1
"50","Male","Ontario","Highschool",21,"Liberal Party","21-40",1,0,0
"51","Female","Ontario","Highschool",20,"NDP","0-20",0,0,1
"52","Female","Ontario","Bachelor's Degree",22,"Green Party","21-40",0,0,0
"53","Female","Ontario","Bachelor's Degree",20,"Liberal Party","0-20",1,0,0
"54","Female","Ontario","Bachelor's Degree",19,"Liberal Party","0-20",1,0,0
"55","Male","Ontario","Bachelor's Degree",19,"Liberal Party","0-20",1,0,0
"56","Female","Ontario","Bachelor's Degree",20,"NDP","0-20",0,0,1
"57","Female","Ontario","Bachelor's Degree",21,"Liberal Party","21-40",1,0,0
"58","Male","Ontario","Bachelor's Degree",22,"NDP","21-40",0,0,1
"59","Female","Ontario","Bachelor's Degree",23,"NDP","21-40",0,0,1
"60","Male","Ontario","Highschool",19,"Liberal Party","0-20",1,0,0
"61","Female","Ontario","Bachelor's Degree",19,"Liberal Party","0-20",1,0,0
"62","Female","Ontario","Bachelor's Degree",19,"NDP","0-20",0,0,1
"63","Female","Ontario","Less than highschool",22,"NDP","21-40",0,0,1
"64","Female","Ontario","Highschool",19,"NDP","0-20",0,0,1
"65","Female","Ontario","Highschool",20,"Liberal Party","0-20",1,0,0
"66","Female","Ontario","Highschool",21,"Liberal Party","21-40",1,0,0
"67","Female","Ontario","Bachelor's Degree",20,"Conservative Party","0-20",0,1,0
"68","Male","Ontario","Bachelor's Degree",22,"Other Party","21-40",0,0,0
"69","Female","Ontario","Bachelor's Degree",22,"Liberal Party","21-40",1,0,0
"70","Female","Ontario","Bachelor's Degree",19,"Conservative Party","0-20",0,1,0
"71","Male","Ontario","Highschool",23,"NDP","21-40",0,0,1
"72","Male","Ontario","Bachelor's Degree",22,"Other Party","21-40",0,0,0
"73","Female","Ontario","Highschool",50,"Other Party","41-60",0,0,0
"74","Female","Quebec","College",63,"Liberal Party","61-80",1,0,0
"75","Female","Ontario","Bachelor's Degree",72,"Other Party","61-80",0,0,0
"76","Female","Ontario","Above Bachelor's",28,"NDP","21-40",0,0,1
"77","Male","British Columbia","Bachelor's Degree",59,"Conservative Party","41-60",0,1,0
"78","Female","Ontario","Highschool",60,"Liberal Party","41-60",1,0,0
"79","Male","Ontario","Above Bachelor's",63,"NDP","61-80",0,0,1
"80","Female","Ontario","Bachelor's Degree",29,"Liberal Party","21-40",1,0,0
"81","Female","Ontario","Highschool",57,"Green Party","41-60",0,0,0
"82","Male","Alberta","Bachelor's Degree",65,"Conservative Party","61-80",0,1,0
